dipeptide,count_lnc,count_proteome,log2_fold_change_lnc_over_proteome,fisher_p_two_sided,q_value_fdr_bh,category,peptide_fasta,peptide_set
ID,50,21955,-2.0554306764797006,1.805491335839763e-39,4.248214907858266e-38,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
IE,119,27902,-1.1585873514440144,7.493527517771119e-24,5.764251936747014e-23,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
IF,194,21712,-0.09395927336208143,0.3822177947996896,0.4247809278189356,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
IG,177,24261,-0.38605330480555167,0.00023637743633186568,0.0003989492596318408,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
IH,100,16931,-0.6877178687560548,2.967388323889664e-07,6.521732579977284e-07,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
II,204,27031,-0.3377443068901893,0.0006261929612332712,0.0010099886471504375,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
IK,167,28763,-0.715281720533768,4.388886406356578e-12,1.415769808502122e-11,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
IL,536,52115,0.10666207397591122,0.08622097846615831,0.10579261161491818,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
IM,83,10243,-0.23006421668071833,0.15387533585046403,0.1799711530414784,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
IN,49,20185,-1.9630224725193348,1.4637311706290926e-34,2.5456194271810307e-33,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
IP,345,29450,0.2951900031543139,0.00022483541896147917,0.00038107698129064265,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
IQ,214,25638,-0.19253779036485497,0.0496833111634898,0.06289026729555672,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
IR,222,26375,-0.18059668678845417,0.061272856728603664,0.0770727757592499,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
IS,479,42054,0.2540670527153613,0.00016519955417660282,0.0002811907305133665,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
IT,222,29361,-0.3353239170288959,0.0003818890677305788,0.0006286239798034218,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
IV,158,27631,-0.7370346215040154,3.1500365658207535e-12,1.0500121886069178e-11,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
IW,80,5917,0.5087974026294844,0.0032089189174502914,0.004736411686273493,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
IY,72,15686,-1.048674170905692,2.6865534212339243e-12,9.106960749945506e-12,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
KA,333,46402,-0.41171935290072637,6.033898065428173e-08,1.4114381439598067e-07,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
KC,105,14371,-0.3811712291132887,0.005177842166119742,0.00747702839872887,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
KD,156,34693,-1.0837063145004324,1.373474504537379e-26,1.2776507018952363e-25,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
KE,314,57293,-0.8005150357268461,5.2190266530584944e-27,4.9705015743414236e-26,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
KF,139,19129,-0.39073762311545535,0.001028350826995835,0.0016130993364640548,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
KG,292,36559,-0.2570132946908539,0.002103062361837711,0.0031864581239965314,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
KH,97,16087,-0.6576696041089715,1.5208565333282072e-06,3.072437441067085e-06,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
KI,187,31428,-0.6803864017529635,3.830843920495329e-12,1.2560144001624029e-11,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
KK,278,52879,-0.8602347876373388,4.826971327219382e-28,5.516538659679294e-27,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_tcga_filtered_peptides.faa,tcga_matrix
