dipeptide,count_lnc,count_proteome,log2_fold_change_lnc_over_proteome,fisher_p_two_sided,q_value_fdr_bh,category,peptide_fasta,peptide_set
SF,443,35607,0.2967963327684974,2.8158254827983314e-05,4.983761916457224e-05,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
SG,796,65039,0.2724015711936226,2.174895463098351e-07,4.753869864695849e-07,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
SH,423,25479,0.7130683785675933,6.433940635832809e-21,3.959348083589421e-20,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
SI,296,36373,-0.3148122734596397,0.00012477709732195148,0.00020796182886991915,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
SK,319,45395,-0.5266899848650779,5.948877920614497e-12,1.8736623372014167e-11,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
SL,1154,94468,0.2694062931644956,5.699912608191147e-10,1.605609185405957e-09,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
SM,201,16154,0.29888711648238,0.004635357197743296,0.0067917321578656355,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
SN,233,30478,-0.40432597639321377,9.752564270771023e-06,1.814430562003911e-05,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
SP,1040,68235,0.5887259291150813,5.421784514081085e-35,9.429190459271452e-34,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
SQ,423,44525,-0.09222646664912257,0.20008939251273405,0.23303812894263048,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
SR,1013,51796,0.9484629444526829,4.1257891580598213e-79,2.3575938046056122e-77,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
SS,1300,107969,0.24848594818379274,1.1186327933322521e-09,3.0858835678131095e-09,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
ST,515,52703,-0.051882969764393355,0.44515116245869735,0.4891771016029641,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
SV,591,54923,0.08699798039443976,0.14049023097689325,0.16825177362502186,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
SW,255,12567,1.003668978113929,3.313614846060208e-23,2.3253437516211987e-22,enriched,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
SY,117,24278,-1.0669751574594306,1.3382766878383247e-19,7.647295359076141e-19,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
TA,526,42988,0.27252613607007736,2.4235366093349935e-05,4.32774394524106e-05,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
TC,234,15428,0.5840334926656306,6.731210927351346e-09,1.7015498442786583e-08,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
TD,195,27153,-0.49392618531200494,5.117184171074945e-07,1.088762589590414e-06,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
TE,285,39739,-0.49703959922707025,9.545602574299585e-10,2.6515562706387737e-09,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
TF,172,24454,-0.5234602295650582,5.59756856520691e-07,1.1846705958109862e-06,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
TG,460,42891,0.08255276156595966,0.21786428585084505,0.2518662264171619,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
TH,149,15829,-0.10242682596362518,0.403793318668699,0.4486592429652211,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
TI,211,27053,-0.3751142129849636,9.62806076721023e-05,0.0001618161473480711,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
TK,201,29552,-0.5724569659204664,2.5734768858941866e-09,6.772307594458386e-09,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
TL,614,60972,-0.008702314138380414,0.9192186311874844,0.9403771163043319,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
TM,91,11463,-0.3451605659996303,0.019361903870799398,0.025392660814163144,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
TN,145,19339,-0.43048796699754677,0.00017907385871999732,0.00029477178390123016,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
TP,451,42588,0.06430544574562098,0.33218183574305354,0.3753467070542978,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
TQ,244,26224,-0.12103742527667755,0.1944975142517068,0.2281495768348467,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
TR,432,27945,0.6101275208481137,2.3156622292389344e-16,1.077052199646016e-15,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
TS,611,54387,0.14912076297116944,0.011318283059902642,0.015346824488003584,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
TT,289,37680,-0.4002113846673305,1.0469539296256083e-06,2.1366406727053232e-06,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
TV,358,43354,-0.29416525149399597,7.908045304903947e-05,0.00013403466618481266,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
TW,138,7959,0.7791796407712818,7.079431472028297e-09,1.7698578680070742e-08,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
TY,72,16038,-1.1654429438878768,3.19466955424002e-15,1.2907755774707152e-14,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
VA,461,48670,-0.09667357187909677,0.1593298267637821,0.1896783651949787,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
VC,232,16769,0.45143441810738516,6.259371618338158e-06,1.186610733334248e-05,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
VD,143,32659,-1.20640859127085,6.371426858811086e-31,8.495235811748114e-30,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
VE,271,42738,-0.6745407003727137,1.134982926219487e-16,5.469797234792708e-16,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
VF,281,27366,0.020767363240743592,0.8088629419923972,0.8425655645754137,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
VG,425,38329,0.13074732927773836,0.06219394433594467,0.07631158814226341,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
VH,131,17915,-0.4661021324874168,0.00011438783353598977,0.00019144407286358122,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
VI,210,32574,-0.6498794251411701,2.35694958548284e-12,7.664876700757203e-12,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
VK,210,36919,-0.8305194054518797,4.950901433919515e-20,2.955762050101203e-19,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
VL,661,71104,-0.12415633427971169,0.029182336770036097,0.03753355211580206,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
VM,108,13508,-0.3361290663199806,0.014023589780525609,0.01857429110003392,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
VN,140,24764,-0.8376599865465596,4.591827411477115e-14,1.7006768190655982e-13,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
VP,430,41484,0.033484215705125754,0.6231405127952554,0.6646832136482724,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
VQ,264,30670,-0.23354058773487635,0.00783682411604075,0.011116062575944326,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
VR,377,33669,0.14507772345832634,0.05297951156615571,0.06581305784615617,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
VS,557,55243,-0.006789544673643007,0.9490397523355926,0.9634921343508553,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
VT,414,43111,-0.07665728209507591,0.29980833276828966,0.3406912872366928,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
VV,282,44642,-0.6801235774858521,1.3504198217355368e-17,6.752099108677684e-17,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
VW,163,8079,0.9969960920635423,3.0372514054734135e-15,1.2396944512136381e-14,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
VY,70,18293,-1.3955925862087835,7.736487565619118e-22,4.9120555972184874e-21,depleted,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
WA,166,9437,0.7990889088431329,7.797523889144955e-11,2.293389379160281e-10,sig_small,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
WC,89,2786,1.6634769049451879,1.1285049790962719e-19,6.54205784983346e-19,enriched,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
WD,87,7409,0.21995020152617206,0.1638573754696196,0.1944894664327829,ns,C:\Users\stavz\Desktop\masters\UNDEFINED\paper-github\data\smprot_all_filtered_peptides.faa,all_smprot_filtered
