n_alleles_per_epitope,n_epitopes,n_sb_rows_in_bin,total_epitopes,total_sb_row_instances
1,125,125,341,1434
2,87,174,341,1434
3,66,198,341,1434
4,38,152,341,1434
5,13,65,341,1434
6,8,48,341,1434
7,1,7,341,1434
8,3,24,341,1434
9,0,0,341,1434
10,0,0,341,1434
11,0,0,341,1434
12,0,0,341,1434
13,0,0,341,1434
14,0,0,341,1434
15,0,0,341,1434
16,0,0,341,1434
17,0,0,341,1434
18,0,0,341,1434
19,0,0,341,1434
20,0,0,341,1434
21,0,0,341,1434
22,0,0,341,1434
23,0,0,341,1434
24,0,0,341,1434
25,0,0,341,1434
26,0,0,341,1434
27,0,0,341,1434
