n_alleles_per_epitope,n_epitopes,n_sb_rows_in_bin,total_epitopes,total_sb_row_instances
1,2940,2940,14474,69355
2,2033,4066,14474,69355
3,2156,6468,14474,69355
4,1664,6656,14474,69355
5,1352,6760,14474,69355
6,1257,7542,14474,69355
7,640,4480,14474,69355
8,509,4072,14474,69355
9,409,3681,14474,69355
10,326,3260,14474,69355
11,264,2904,14474,69355
12,231,2772,14474,69355
13,189,2457,14474,69355
14,159,2226,14474,69355
15,98,1470,14474,69355
16,77,1232,14474,69355
17,53,901,14474,69355
18,46,828,14474,69355
19,27,513,14474,69355
20,23,460,14474,69355
21,10,210,14474,69355
22,7,154,14474,69355
23,3,69,14474,69355
24,1,24,14474,69355
25,0,0,14474,69355
26,0,0,14474,69355
27,0,0,14474,69355
