n_alleles_per_epitope,n_epitopes,n_sb_rows_in_bin,total_epitopes,total_sb_row_instances
1,101,101,327,1677
2,81,162,327,1677
3,51,153,327,1677
4,53,212,327,1677
5,22,110,327,1677
6,5,30,327,1677
7,5,35,327,1677
8,3,24,327,1677
9,3,27,327,1677
10,1,10,327,1677
11,2,22,327,1677
12,0,0,327,1677
13,0,0,327,1677
14,0,0,327,1677
15,0,0,327,1677
16,0,0,327,1677
17,0,0,327,1677
18,0,0,327,1677
19,0,0,327,1677
20,0,0,327,1677
21,0,0,327,1677
22,0,0,327,1677
23,0,0,327,1677
24,0,0,327,1677
25,0,0,327,1677
26,0,0,327,1677
27,0,0,327,1677
